,title,country,genre,actors,director,time,description,score
191,Побег из Шоушенка ,['США'],"['драма', 'слова']","['Тим Роббинс', 'Морган Фриман', 'Боб Гантон']",Фрэнк Дарабонт,142,"Бухгалтер Энди Дюфрейн обвинён в убийстве собственной жены и её любовника. Оказавшись в тюрьме под названием Шоушенк, он сталкивается с жестокостью и беззаконием, царящими по обе стороны решётки. Каждый, кто попадает в эти стены, становится их рабом до конца жизни. Но Энди, обладающий живым умом и доброй душой, находит подход как к заключённым, так и к охранникам, добиваясь их особого к себе расположения.",9.1
192,Форрест Гамп ,['США'],"['драма', 'комедия', 'мелодрама', 'история', 'военный', 'слова']","['Том Хэнкс', 'Робин Райт', 'Салли Филд']",Роберт Земекис,142,"Сидя на автобусной остановке, Форрест Гамп — не очень умный, но добрый и открытый парень — рассказывает случайным встречным историю своей необыкновенной жизни.",8.9
193,Кто убил BlackBerry ,['Канада'],"['биография', 'драма', 'комедия', 'слова']","['Джей Барушель', 'Гленн Хауэртон', 'Мэтт Джонсон']",Мэтт Джонсон,120,"Ватерлоо, Канада, 1996 год. Основатели маленькой компании Research in Motion пытаются найти финансирование революционной разработки — пейджер, телефон и компьютер в одном устройстве — но стабильно проваливают все питчинги. Когда к ним присоединяется уволенный из большой компании, где они накануне делали презентацию, менеджер и устраивает эффективное управление, вынудив недисциплинированных программистов буквально за ночь из электронных игрушек и калькулятора смастерить рабочий прототип, тут же находится заинтересованный инвестор. Так рождается первый в мире смартфон BlackBerry, который стремительно завоёвывает рынок и делает своих создателей миллиардерами.",7.4
194,Годзилла: Минус один ,['Япония'],"['фантастика', 'боевик', 'слова']","['Минами Хамабэ', 'Рюносукэ Камики', 'Сакура Андо']",Такаси Ямадзаки,125,Послевоенная Япония подвергается нападению Годзиллы.,7.2
195,Большой куш ,['Великобритания'],"['криминал', 'комедия', 'боевик', 'слова']","['Джейсон Стэйтем', 'Стивен Грэм', 'Брэд Питт']",Гай Ричи,104,"Фрэнки Четыре Пальца должен был переправить краденый алмаз из Англии в США своему боссу Эви, но, сделав ставку на подпольный боксерский поединок, он попал в круговорот весьма нежелательных событий. Вокруг него и его груза разворачивается сложная интрига с участием множества колоритных персонажей лондонского дна — русского гангстера, троих незадачливых грабителей, хитрого боксера и угрюмого громилы грозного мафиози. Каждый норовит в одиночку сорвать большой куш.",8.6
196,Человек-паук: Нет пути домой ,['США'],"['фантастика', 'боевик', 'приключения', 'фэнтези', 'слова']","['Том Холланд', 'Зендея', 'Бенедикт Камбербэтч']",Джон Уоттс,148,"Жизнь и репутация Питера Паркера оказываются под угрозой, поскольку Мистерио раскрыл всему миру тайну личности Человека-паука. Пытаясь исправить ситуацию, Питер обращается за помощью к Стивену Стрэнджу, но вскоре всё становится намного опаснее.",7.9
197,Астрал 5: Красная дверь ,['США'],"['ужасы', 'слова']","['Тай Симпкинс', 'Патрик Уилсон', 'Роуз Бирн']",Патрик Уилсон,107,"Далтон вырос и отправляется в художественное училище, где, следуя указаниям преподавательницы, пытается погрузиться в собственное подсознание. Парень начинает рисовать загадочную дверь, которая как-то связана с его детскими годами, о которых он ничего не помнит. А Джош, который тоже забыл важную часть своей жизни, уже некоторое время жалуется на спутанность сознания и во время обследования вдруг видит страшного призрака.",5.5
198,Игра ,['США'],"['триллер', 'драма', 'детектив', 'приключения', 'слова']","['Майкл Дуглас', 'Шон Пенн', 'Дебора Кара Ангер']",Дэвид Финчер,129,"Николас Ван Ортон - само воплощение успеха. Он преуспевает, он невозмутим и спокоен, привык держать любую ситуацию под контролем. На день рождения Николас получает необычный подарок - билет для участия в «Игре».",8.3
199,Достучаться до небес ,['Германия'],"['драма', 'комедия', 'криминал', 'слова']","['Тиль Швайгер', 'Ян Йозеф Лиферс', 'Тьерри Ван Вервеке']",Томас Ян,87,"Волею судеб две абсолютные противоположности, тихоня Руди и разгильдяй Мартин, оказываются в одной больничной палате. Узнав неутешительные прогнозы, друзья решают использовать последние дни на полную катушку — угнать машину с деньгами, напиться текилы, и, конечно, увидеть море.",8.6
200,Мой Хатико ,['Китай'],['драма'],"['Фэн Сяоган', 'Хуан Сюн', 'Да Хуан']",Сюй Ан,125,"Начало 2000-х годов. Во время поездки за город с коллегами немолодой университетский преподаватель Чэнь подбирает на дороге грязного и испуганного щенка. Никто не соглашается взять пёсика себе, поэтому мужчине приходится втихаря принести его домой, хотя супруга терпеть не может собак. Пообещав, что найдёт щенку новый дом, Чэнь тем не менее отказывает всем претендентам — так пёс получает кличку Хатико и становится новым членом семьи.",8.6
201,Казнь ,['Россия'],"['детектив', 'триллер', 'криминал']","['Нико Тавадзе', 'Евгений Ткачук', 'Юлия Снигирь']",Ладо Кватания,137,"1991 год. В деле о серийных убийствах в провинциальном городке, которое расследовалось долгие 10 лет и было официально закрыто, внезапно появляется новое обстоятельство — выжившая жертва. Следователь по особо важным делам Исса Давыдов, который за закрытие дела получил повышение, вынужден срочно разобраться в ситуации и оправдаться перед начальством, под давлением которого он закрыл глаза на несостыковки и недостаточность улик. Он решает во что бы то ни стало исправить свою ошибку и сделать всё возможное, чтобы маньяк признался в убийствах.",7.5
202,Первый день моей жизни ,['Италия'],"['фэнтези', 'драма', 'комедия', 'слова']","['Тони Сервилло', 'Валерио Мастандреа', 'Маргерита Буй']",Паоло Дженовезе,121,"Дождливой ночью четверо незнакомых друг с другом самоубийц после ухода из жизни встречают загадочного незнакомца. Он отвозит их в пустующий отель, где им предстоит провести 7 дней, переосмысливая свою прежнюю жизнь и наблюдая за миром, в котором их уже нет.",7.8
203,Лучшее предложение ,['Италия'],"['триллер', 'драма', 'криминал', 'слова']","['Джеффри Раш', 'Джим Стёрджесс', 'Сильвия Хукс']",Джузеппе Торнаторе,131,"Вергилий Олдман — управляющий директор ведущего аукционного дома. Время от времени со своим партнёром Билли на глазах у всего мира он проворачивает хитроумные аферы, ловко манипулируя и вводя в заблуждение как продавцов, так и покупателей. В секретном зале своей виллы он собрал сотни бесценных картин из разных эпох.",8.0
204,Довод ,['Великобритания'],"['фантастика', 'боевик', 'триллер', 'слова']","['Джон Дэвид Вашингтон', 'Роберт Паттинсон', 'Элизабет Дебики']",Кристофер Нолан,150,"После теракта в киевском оперном театре агент ЦРУ объединяется с британской разведкой, чтобы противостоять русскому олигарху, который сколотил состояние на торговле оружием. Для этого агенты используют инверсию времени — технологию будущего, позволяющую времени идти вспять.",7.5
205,Аватар ,['США'],"['фантастика', 'боевик', 'драма', 'приключения', 'слова']","['Сэм Уортингтон', 'Зои Салдана', 'Сигурни Уивер']",Джеймс Кэмерон,162,"Бывший морпех Джейк Салли прикован к инвалидному креслу. Несмотря на немощное тело, Джейк в душе по-прежнему остается воином. Он получает задание совершить путешествие в несколько световых лет к базе землян на планете Пандора, где корпорации добывают редкий минерал, имеющий огромное значение для выхода Земли из энергетического кризиса.",8.0
206,Все страхи Бо ,['США'],"['комедия', 'драма', 'слова']","['Хоакин Феникс', 'Пэтти ЛюПон', 'Эми Райан']",Ари Астер,179,"Бо уже немолод, он боится всего на свете и старается лишний раз не выходить из дома. Ведь мир состоит сплошь из опасностей, а улицы кишат сумасшедшими, которые только и ждут возможности вломиться к тебе в квартиру и посильнее напакостить. На годовщину смерти отца Бо собирается навестить маму, но кто-то крадёт его чемодан и ключи от квартиры прямо из двери. Это вопиющее происшествие запускает цепочку событий, вынуждающих Бо отправиться в полное странностей путешествие, выходящее за рамки пространства и времени.",6.7
207,Синистер ,['США'],"['ужасы', 'слова']","['Итан Хоук', 'Джульет Райлэнс', 'Фред Долтон Томпсон']",Скотт Дерриксон,110,"Автор детективов с семьёй переезжает в небольшой городок и селится в доме, где год назад развернулась леденящая душу трагедия — были убиты все жильцы. Писатель случайно находит видеозаписи, которые являются ключом к тайне преступления. Но ничто не дается даром: в доме начинают происходить жуткие вещи, и теперь под угрозой оказывается жизнь его близких.",6.6
208,Дело храбрых ,['США'],"['драма', 'триллер', 'биография', 'история', 'слова']","['Джош Бролин', 'Майлз Теллер', 'Джефф Бриджес']",Джозеф Косински,134,"История о команде пожарных под названием Granite Mountain Hotshots, столкнувшихся в Аризоне с одним из самых смертоносных пожаров в истории.",8.2
209,Одержимые злом ,['Аргентина'],"['ужасы', 'слова']","['Эсекьель Родригес', 'Демиан Саломон', 'Сильвина Сабатер']",Демиан Рунья,99,"Братья-фермеры Педро и Хайме обнаруживают в лесу изуродованное тело чистильщика, который, как выясняется, направлялся в соседний дом убить одержимого. Когда имеешь дело со злом, нужно соблюдать определённые правила, поэтому братья вместе с соседом Руисом решают отвезти заражённого подальше и там оставить, но тот по дороге исчезает. На следующий день демоническая сила убивает Руиса и его беременную жену, а братья пускаются в бега. Педро заезжает к бывшей супруге забрать детей, но приносит зло с собой.",6.2
210,Чувства Анны ,['Россия'],"['фантастика', 'драма']","['Анна Михалкова', 'Тимофей Трибунцев', 'Олег Ягодин']",Анна Меликян,130,Простая работница пермской шоколадной фабрики начинает слышать голоса внеземных цивилизаций.,6.6
211,Платформа ,['Испания'],"['фантастика', 'триллер', 'драма', 'слова']","['Иван Массаге', 'Сорион Эгилеор', 'Антония Сан Хуан']",Гальдер Гастелу-Уррутия,94,"Горен соглашается на участие в некоем эксперименте и вскоре приходит в себя в почти пустой комнате уровня 48, где имеются большие прямоугольные отверстия в полу и потолке. На каждом уровне находятся два человека, а сколько всего уровней — неизвестно. Этажи связывает общий колодец, по которому раз в день опускается платформа с едой, и чем ниже находятся люди, тем меньше у них шансов поесть. Каждый месяц происходит рокировка, и обитатели верхних уровней могут оказаться в самом низу, и наоборот. Поскольку разрешалось взять с собой один предмет, Горен выбрал томик «Дон Кихота», а его сосед прихватил большой самозатачивающийся нож.",7.1
212,Русский крест ,['Россия'],['драма'],"['Михаил Пореченков', 'Полина Чернышова', 'Юрий Кузнецов']",Эдуард Бояков,80,"Простой человек Иван Росток, достигнув предела в своем падении, кается и духовно возрождается. Он обретает веру после явления ему святого Георгия и ставит перед собой задачу — восстановить разрушенный в советское время деревенский храм.",7.8
213,День благодарения ,['США'],"['ужасы', 'слова']","['Нелл Верлак', 'Патрик Демпси', 'Гэбриел Дэвенпорт']",Элай Рот,106,"Плимут, штат Массачусетс. Давка в торговом центре в Чёрную пятницу, совпавшую с Днём благодарения — празднике, зародившемся в этом городке, — унесла жизни нескольких человек. Год спустя, надев маску первого местного губернатора Джона Карвера и украв из музея его топор, неизвестный начинает охоту на виновных в той трагедии.",6.1
214,Мизантроп ,['США'],"['боевик', 'триллер', 'драма', 'криминал', 'детектив', 'слова']","['Шейлин Вудли', 'Бен Мендельсон', 'Джован Адепо']",Дамиан Сифрон,119,"Новогодняя ночь в Балтиморе омрачается серией убийств. Стрелок-маньяк, не оставляющий следов, забрал десятки жизней под гром фейерверков прямо в центре города. В любой момент он может снова выйти на охоту, а у главного следователя ФБР Ламмарка нет ни одной зацепки. Заметив потенциал в молодой полицейской Элеанор, благодаря её профессиональным действиям и глубокому пониманию характера убийцы, Ламмарк подключает её к расследованию. Теперь их задача — угнаться за психопатом по спирали разрушения.",7.1
215,Текст ,['Россия'],"['драма', 'триллер', 'слова']","['Александр Петров', 'Кристина Асмус', 'Иван Янковский']",Клим Шипенко,132,"Илья Горюнов семь лет отсидел в тюрьме по ложному обвинению в распространении наркотиков. Теперь он выходит на свободу движимый лишь одним желанием — отомстить тому мажору Петру, который подбросил ему наркотики и поломал жизнь. Встретившись лицом к лицу со своим обидчиком, Илья совершает импульсивный поступок и получает доступ к смартфону Петра, а с ним и к жизни молодого человека — его фотографиям и видео, перепискам с родителями и девушкой Ниной, к странным, полным недомолвок и угроз переговорам с коллегами. На время Илья становится для всех Петром — через текст на экране телефона.",6.8
216,Тайна Коко ,['США'],"['мультфильм', 'фэнтези', 'комедия', 'приключения', 'семейный', 'музыка', 'слова']","['Энтони Гонсалес', 'Гаэль Гарсиа Берналь', 'Бенджамин Брэтт']",Ли Анкрич,105,"12-летний Мигель живёт в мексиканской деревушке в семье сапожников и тайно мечтает стать музыкантом. Тайно, потому что в его семье музыка считается проклятием. Когда-то его прапрадед оставил жену, прапрабабку Мигеля, ради мечты, которая теперь не даёт спокойно жить и его праправнуку. С тех пор музыкальная тема в семье стала табу. Мигель обнаруживает, что между ним и его любимым певцом Эрнесто де ла Крусом, ныне покойным, существует некая связь. Паренёк отправляется к своему кумиру в Страну Мёртвых, где встречает души предков. Мигель знакомится там с духом-скелетом по имени Гектор, который становится его проводником. Вдвоём они отправляются на поиски де ла Круса.",8.7
217,Нефть ,['США'],"['драма', 'слова']","['Дэниэл Дэй-Льюис', 'Пол Дано', 'Кевин Дж. О’Коннор']",Пол Томас Андерсон,158,"Начало XX века. Предприниматель Дэниэл Плэйнвью ищет золото и серебро, а находит нефть. За несколько лет он становится преуспевающим нефтяником, разработавшим уже несколько скважин. Однажды он узнает про новое месторождение. Уцепившись за этот шанс разбогатеть, Дэниэл делает всё, чтобы добиться своего.",7.8
218,Три богатыря и Конь на троне ,['Россия'],"['мультфильм', 'комедия', 'приключения', 'семейный']","['Олег Куликович', 'Валерий Соловьев', 'Дмитрий Быковский-Ромашов']",Дарина Шмидт,87,"Как всегда, конь Юлий вляпался в историю. А заодно и Князю удружил — они случайно поменялись телами, конечно, не без помощи старой знакомой — Бабы Яги и небольшого колдовства. Теперь Юлий заседает во дворце и благоустраивает Киев, а Князь пашет поле. Вот такие игры престолов. Но долго так продолжаться не может, отечество в опасности! И как всегда, за дело берутся три богатыря.",7.5
219,Банши Инишерина ,['Великобритания'],"['драма', 'комедия', 'слова']","['Колин Фаррелл', 'Брендан Глисон', 'Керри Кондон']",Мартин Макдона,114,"1923 год, островок Инишерин возле западного побережья Ирландии. Народу здесь мало, и компанию простоватому доброжелательному фермеру Подрику составляют рассудительная незамужняя сестра, недалекий сын полицейского, миниатюрная ослица Дженни и, главное, его лучший друг — пожилой скрипач Колм. Однажды Подрик, следуя ежедневным маршрутом, заходит за Колмом по дороге в паб, а тот вдруг отказывается не только выпивать, но даже разговаривать с ним. Прижатый к стенке Колм сообщает, что считает Подрика скучным, а если тот продолжит к нему приставать, он отрежет себе палец.",7.5
220,Вивариум ,['Ирландия'],"['фантастика', 'драма', 'слова']","['Имоджен Путс', 'Джесси Айзенберг', 'Сенан Дженнингс']",Лоркан Финнеган,97,"Молодая учительница начальных классов Джемма и разнорабочий Том решают съехаться и заходят в агентство недвижимости, где их встречает очень странный сотрудник. Он привозит их в недавно построенный жилой квартал в пригороде, показывает дом №9, а затем исчезает. Парочка сначала пытается выбраться, но вскоре с ужасом понимает, что они застряли в этом жутко-стерильном лабиринте одинаковых строений, и все дороги приводят их к дому №9. В отчаянии они даже поджигают дом, но на следующий день обнаруживают его новёхоньким, а также находят коробку с младенцем и записку: «Вырастите ребёнка, получите свободу».",6.1
221,Старикам тут не место ,['США'],"['триллер', 'драма', 'криминал', 'вестерн', 'слова']","['Томми Ли Джонс', 'Джош Бролин', 'Хавьер Бардем']",Итан Коэн,122,"Обычный работяга обнаруживает в пустыне гору трупов, набитый героином грузовик и соблазнительную сумму в два миллиона долларов наличными. Он решает взять деньги себе, и результатом становится волна насилия, которую не может остановить вся полиция Западного Техаса.",7.8
222,Голодные игры: И вспыхнет пламя ,['США'],"['фантастика', 'боевик', 'триллер', 'приключения', 'слова']","['Дженнифер Лоуренс', 'Джош Хатчерсон', 'Лиам Хемсворт']",Фрэнсис Лоуренс,146,"Сумев выжить на безжалостных Голодных играх, Китнисс Эвердин и Пит Мелларк возвращаются домой. Но теперь они в еще большей опасности, так как своим отказом играть по правилам на Арене бросили вызов Капитолию. По традиции следующие, юбилейные, Голодные игры должны стать особенными, и в этот раз в них участвуют только победители прошлых лет. Китнисс и Пит вынуждены вновь выйти на Арену, где будут соперничать с сильнейшими. Правила игры меняются. Арена еще опасней, масштаб еще больше, ставки еще выше!",7.5
223,Невероятная история Острова роз ,['Италия'],"['драма', 'комедия', 'приключения', 'слова']","['Элио Джермано', 'Леонардо Лиди', 'Матильда Де Анджелис']",Сидней Сибилиа,117,"Инженер-идеалист создает остров у итальянского побережья и объявляет его республикой, привлекая внимание правительства и всего мира.",6.9
224,Проклятие дудочника ,['США'],"['ужасы', 'слова']","['Джулиан Сэндс', 'Шарлотта Хоуп', 'Оливер Сэвелл']",Эрлингур Тороддсен,91,"Древняя легенда о Пегом Дудочнике пугала людей на протяжении веков. Но что, если не все в ней вымысел, а мистический странник в пёстром костюме, который безжалостно обрекал целые поселения на смерть, существует? Мэл далека от древних историй: она обычный музыкант в современном мире и старается лишь обеспечить свою дочь. Однажды ей удается наиграть мелодию, способную вводить людей в транс, но таким даром легендарный Гамельнский крысолов делиться не станет. Теперь древнее зло опять появится в этом мире, чтобы написать новую кровавую историю.",5.2
225,Астрал ,['США'],"['ужасы', 'слова']","['Патрик Уилсон', 'Роуз Бирн', 'Тай Симпкинс']",Джеймс Ван,103,"Джош и Рене переезжают с детьми в новый дом, но не успевают толком распаковать вещи, как начинаются странные события. Необъяснимо перемещаются предметы, в детской звучат странные звуки, но настоящий кошмар начинается, когда их десятилетний сын Далтон впадает в кому. Все усилия врачей помочь мальчику безуспешны. Несколько месяцев спустя его возвращают домой, и загадочные явления продолжаются. Вскоре выясняется, что Далтон в бессознательном состоянии связан с паранормальным миром.",6.8
226,Ford против Ferrari ,['США'],"['биография', 'спорт', 'драма', 'боевик', 'слова']","['Кристиан Бэйл', 'Мэтт Дэймон', 'Катрина Балф']",Джеймс Мэнголд,152,"В начале 1960-х Генри Форд II принимает решение улучшить имидж компании и сменить курс на производство более модных автомобилей. После неудавшейся попытки купить практически банкрота Ferrari американцы решают бросить вызов итальянским конкурентам на трассе и выиграть престижную гонку 24 часа Ле-Мана. Чтобы создать подходящую машину, компания нанимает автоконструктора Кэррола Шэлби, а тот отказывается работать без выдающегося, но, как считается, трудного в общении гонщика Кена Майлза. Вместе они принимаются за разработку впоследствии знаменитого спорткара Ford GT40.",8.2
227,Мой сосед Тоторо ,['Япония'],"['аниме', 'мультфильм', 'фэнтези', 'приключения', 'семейный', 'слова']","['Норико Хидака', 'Тика Сакамото', 'Хитоси Такаги']",Хаяо Миядзаки,86,"Сестры Сацуки и Мэй переезжают вместе с папой в деревенский дом. Однажды девочки обнаруживают, что по соседству с ними живут лесные духи — хранители леса во главе со своим могущественным и добрым повелителем Тоторо. Постепенно Тоторо становится другом девочек, помогая им в их повседневных приключениях.",8.2
228,Дневник Бриджит Джонс ,['Великобритания'],"['комедия', 'мелодрама', 'драма', 'слова']","['Рене Зеллвегер', 'Колин Фёрт', 'Хью Грант']",Шэрон Магуайр,97,"Бриджит Джонс заводит дневник, чтобы описывать свои достижения и победы: как она будет избавляться от лишних килограммов и вредных привычек, а также налаживать личную жизнь. Родители хотят сосватать её за сына соседей, скромника Марка, а Бриджит без ума от своего неотразимого начальника Дэниэла. Неожиданно выбор оказывается совсем не простым.",7.5
229,Три тысячи лет желаний ,['Австралия'],"['фэнтези', 'драма', 'мелодрама', 'слова']","['Тильда Суинтон', 'Идрис Эльба', 'Эрдиль Яшароглу']",Джордж Миллер,108,"Британская лингвистка Алетея прилетает из Лондона в Стамбул, чтобы прочитать курс лекций по нарративу. Уже в аэропорту женщина начинает видеть загадочных существ, а когда в одной из многочисленных сувенирных лавочек покупает стеклянную бутылочку и пытается её отмыть, перед ней возникает самый настоящий джинн. Алетея не торопится загадывать три желания, ей интереснее послушать его историю. Джинн начинает свой рассказ.",7.2
230,Немая ярость ,['США'],"['боевик', 'драма', 'криминал', 'слова']","['Юэль Киннаман', 'Кид Кади', 'Арольд Торрес']",Джон Ву,104,"В ходе бандитской разборки случайная пуля лишает счастливую семью маленького сына, а его отца — голоса. Спустя год усиленной подготовки папа мальчика становится кошмаром для врагов в любой перестрелке, погоне или рукопашной. В годовщину трагедии он намерен разыграть безостановочную симфонию возмездия всем, кто встанет у него на пути. Теперь его действия скажут всё громче любых слов.",6.0
231,Догвилль ,['Дания'],"['триллер', 'драма', 'детектив', 'слова']","['Николь Кидман', 'Пол Беттани', 'Харриет Андерссон']",Ларс фон Триер,178,"Юная Грейс, сбежав от банды гангстеров, находит спасение в маленьком городке Догвилль где-то в Скалистых горах. Местные жители – один прекраснее другого – готовы ее укрыть. А взамен им совсем ничего не надо, ну, разве что помочь по дому или присмотреть за детьми. Но постепенно милый Догвилль превращается для девушки в тюрьму.",8.0
232,Тариф Новогодний ,['Россия'],"['фэнтези', 'комедия']","['Максим Матвеев', 'Валерия Ланская', 'Светлана Суханова']",Евгений Бедарев,83,"Новогодняя ночь всегда полна чудес и сюрпризов. Чудеса нашего времени часто происходят благодаря техническому прогрессу, хотя и не без участия Деда Мороза, который нынче может оказаться простым продавцом телефона Мечты...",7.1
233,Своя война. Шторм в пустыне ,['Россия'],"['военный', 'драма', 'триллер', 'история']","['Алексей Чадов', 'Виталий Кищенко', 'Кристина Асмус']",Алексей Чадов,95,"Иван давно вернулся с войны. Но война не отпускает его: он продолжает в нее играть, что уже стоило ему отношений с женой, а теперь может стоить и жизни. Иван отправляется в Сирию под видом иностранного военного корреспондента по имени Джон.",7.4
234,Баллада Бастера Скраггса ,['США'],"['вестерн', 'драма', 'комедия', 'мюзикл', 'слова']","['Тим Блейк Нельсон', 'Джеймс Франко', 'Гарри Меллинг']",Итан Коэн,133,"События разворачиваются на Диком Западе в маленьких захолустных городках среди бескрайних американских прерий и высокогорных равнин. В этом суровом мире, где каждый сам за себя, царит один закон: выживает сильнейший.",7.2
235,Заветное желание ,['США'],"['мультфильм', 'мюзикл', 'фэнтези', 'комедия', 'приключения', 'семейный', 'слова']","['Ариана ДеБос', 'Крис Пайн', 'Алан Тьюдик']",Крис Бак,95,"Аша загадывает настолько сильное желание, что на него отвечает космическая сила — маленький шарик безграничной энергии по имени Звезда. Вместе они противостоят самому грозному правителю Росаса, королю Магнифико.",6.0
236,Пацанский кипиш: Санжика Днюха ,['Казахстан'],['комедия'],"['Ильяс Джапаров', 'Али Жарасулы', 'Улан Кайраласов']",Нурсултан Джумабеков,90,"Санжик, обычный пацан с района, устраивает шикарную вечеринку в честь своего ненастоящего дня рождения, чтобы привлечь внимание девушки, в которую он влюблен еще со школы.",6.6
237,Вавилон ,['США'],"['драма', 'комедия', 'слова']","['Диего Кальва', 'Марго Робби', 'Брэд Питт']",Дэмьен Шазелл,189,"Голливуд, 1926 год. На шумной вечеринке в особняке продюсера знакомятся начинающая актриса Нелли Ларой и парень из обслуживающего персонала Мэнни Торрес. Мероприятие проходит не только весело, но и с пользой для обоих: Нелли получает приглашение на съёмки, а Мэнни отвозит домой пьяную звезду немого кино Джека Конрада, и тот просит парня работать у него ассистентом. Так оба попадают на съёмочную площадку и начинают делать карьеру в кино: Нелли — на актёрском поприще, Мэнни — в качестве помощника продюсера. А тем временем прогресс не стоит на месте, и популярность набирает звуковое кино.",7.5
238,Ла-Ла Ленд ,['США'],"['мюзикл', 'драма', 'мелодрама', 'комедия', 'музыка', 'слова']","['Райан Гослинг', 'Эмма Стоун', 'Джон Ледженд']",Дэмьен Шазелл,128,"Это история любви старлетки, которая между прослушиваниями подает кофе состоявшимся кинозвездам, и фанатичного джазового музыканта, вынужденного подрабатывать в заштатных барах. Но пришедший к влюбленным успех начинает подтачивать их отношения.",8.0
239,Апокалипсис ,['США'],"['боевик', 'триллер', 'драма', 'приключения', 'слова']","['Руди Янгблад', 'Далия Эрнандес', 'Джонатан Брюэр']",Мэл Гибсон,139,"1517 год. Полуостров Юкатан. В один день рушится мир индейца по имени Лапа Ягуара. Его деревню захватывает соседнее племя, уничтожая хижины, забирая местных жителей в плен. Его ведут в город, чтобы принести в жертву богам. Перед лицом неминуемой смерти Лапа Ягуара должен побороть свои самые сильные страхи и совершить отчаянный рывок, чтобы спасти то, что ему дорого.",8.0
