,title,country,genre,actors,director,time,description,score
53,Ходячий замок ,['Япония'],"['аниме', 'мультфильм', 'фэнтези', 'мелодрама', 'приключения', 'слова']","['Тиэко Байсё', 'Такуя Кимура', 'Акихиро Мива']",Хаяо Миядзаки,119,"Злая ведьма заточила 18-летнюю Софи в тело старухи. Девушка-бабушка бежит из города куда глаза глядят и встречает удивительный дом на ножках, где знакомится с могущественным волшебником Хаулом и демоном Кальцифером. Кальцифер должен служить Хаулу по договору, условия которого он не может разглашать. Девушка и демон решают помочь друг другу избавиться от злых чар.",8.3
54,Человек-паук: Паутина вселенных ,['США'],"['мультфильм', 'фантастика', 'фэнтези', 'боевик', 'приключения', 'семейный', 'слова']","['Шамеик Мур', 'Хейли Стайнфелд', 'Брайан Тайри Генри']",Жуакин Душ Сантуш,140,"После воссоединения с Гвен Стейси дружелюбный сосед Человек-Паук попадает из Бруклина в Мультивселенную, где встречает команду Паучков, защищающих само её существование. Пытаясь справиться с новой угрозой, Майлз сталкивается с Пауками из других вселенных. Настаёт момент, когда ему необходимо решить, что значит быть героем, спасающим тех, кого любишь больше всего.",8.4
55,Гринч ,['Франция'],"['мультфильм', 'фэнтези', 'комедия', 'семейный', 'слова']","['Бенедикт Камбербэтч', 'Кэмерон Сили', 'Рашида Джонс']",Ярроу Чейни,85,"Любой бы на месте Гринча позеленел и взбесился. Как порядочный интроверт он живёт в тёмной пещере на самой вершине горы подальше ото всех, но эти «все» готовят грандиознейшее празднование нового года. Они шумят, всё украшают и дико бесят. Кто бы отказал себе в удовольствии испортить праздник? Гринч решает украсть Новый год.",7.6
56,Конёк-Горбунок ,['Россия'],"['фэнтези', 'комедия', 'приключения', 'семейный', 'слова']","['Антон Шагин', 'Павел Деревянко', 'Михаил Ефремов']",Олег Погодин,111,"Иван — не царевич, не богатырь, не красавец, а старшие братья и вовсе его дураком считают. Но всё меняется, когда у Ивана появляется друг и верный помощник — Конёк-Горбунок. Пусть он ростом невелик, зато умный и смелый. С таким другом никакой враг не страшен. Ну, почти никакой. С таким помощником и ничего невозможного нет. Ну, почти, нет. Ивану с Коньком предстоит проверить свою дружбу на прочность, столкнуться с коварным противником, преодолеть невероятные испытания и встретить такую любовь, ради которой стоит рискнуть всем. Ну, почти всем.",7.1
57,Семейный план ,['США'],"['боевик', 'комедия', 'слова']","['Марк Уолберг', 'Мишель Монахэн', 'Киран Хайндс']",Саймон Селлан Джонс,118,"Дэн Морган очень разноплановый: преданный муж, любящий отец, успешный продавец автомобилей. А еще он бывший наемный убийца. Когда его настигает прошлое, он вынужден взять ничего не подозревающую семью в уникальное путешествие.",6.3
58,Каменщик ,['Греция'],"['боевик', 'триллер', 'слова']","['Аарон Экхарт', 'Нина Добрев', 'Клифтон Коллинз мл.']",Ренни Харлин,110,"Стив Уэйл по прозвищу Каменщик — один из лучших агентов ЦРУ, оставивший службу в прошлом. Но когда его старый знакомый организовывает серию убийств с целью подставить Управление, властям приходится вернуть Стива в игру. Теперь вместе с заносчивой напарницей Кейт они должны остановить опаснейшего противника, пока под угрозой не оказался весь мировой порядок.",5.6
59,Не скажу ,['Россия'],"['комедия', 'семейный']","['Мария Андреева', 'Анна Рыцарева', 'Степан Девонин']",Владимир Измайлов,96,"Накануне Нового года Павел по ошибке берёт чужое пальто, в котором находит дорогое украшение. Дома он понимает, что письмо дочери Деду Морозу осталось в кармане его утерянного пальто. Отец семейства вместе с супругой пытается выяснить, что именно загадала девочка. Но шестилетняя Варя боится рассказывать о своей мечте, иначе она не сбудется. Чтобы сохранить веру в чудо у ребёнка, родителям предстоит найти письмо, которое затерялось в огромной Москве, а заодно вернуть найденный подарок.",6.8
60,Гарри Поттер и Тайная комната ,['Великобритания'],"['фэнтези', 'приключения', 'семейный', 'слова']","['Дэниэл Рэдклифф', 'Руперт Гринт', 'Эмма Уотсон']",Крис Коламбус,161,"Гарри Поттер переходит на второй курс Школы чародейства и волшебства Хогвартс. Эльф Добби предупреждает Гарри об опасности, которая поджидает его там, и просит больше не возвращаться в школу.",8.1
61,Достать ножи ,['США'],"['детектив', 'комедия', 'драма', 'криминал', 'слова']","['Дэниэл Крэйг', 'Ана де Армас', 'Крис Эванс']",Райан Джонсон,130,"На следующее утро после празднования 85-летия известного автора криминальных романов Харлана Тромби виновника торжества находят мёртвым. Налицо — явное самоубийство, но полиция по протоколу опрашивает всех присутствующих в особняке членов семьи, хотя, в этом деле больше заинтересован частный детектив Бенуа Блан. Тем же утром он получил конверт с наличными от неизвестного и заказ на расследование смерти Харлана. Не нужно быть опытным следователем, чтобы понять, что все приукрашивают свои отношения с почившим главой семейства, но Блану достаётся настоящий подарок — медсестра покойного, которая физически не выносит ложь.",8.1
62,Барби ,['США'],"['комедия', 'приключения', 'фэнтези', 'слова']","['Марго Робби', 'Райан Гослинг', 'Америка Феррера']",Грета Гервиг,114,"Самая обыкновенная стереотипная Барби живёт в великолепном розовом Барбиленде, и каждый её день идеален. Она меняет наряды, загорает на пляже, проводит время с другими Барби, день заканчивается шумной вечеринкой с танцами, и в этой позитивной кутерьме с блёстками влюблённый Кен — всего лишь приложение к Барби. Однажды куклу посещают мысли о смерти, и её сделанные под туфли с каблуками ноги вдруг становятся плоскими. Чтобы разобраться в происходящем и вернуть привычный пластмассовый мир, Барби придётся отправиться в мир реальный и найти там свою девочку-хозяйку. За ней увязывается не мыслящий жизни без своего кумира Кен.",6.6
63,Оно ,['США'],"['ужасы', 'слова']","['Майка Монро', 'Кейр Гилкрист', 'Оливия Луккарди']",Дэвид Роберт Митчелл,100,"После сексуальной связи 19-летнюю девушку по имени Джей начинают мучать странные видения и непреодолимое чувство, что кто-то или что-то за ней следит.",6.3
64,Начало ,['США'],"['фантастика', 'боевик', 'триллер', 'драма', 'детектив', 'слова']","['Леонардо ДиКаприо', 'Джозеф Гордон-Левитт', 'Эллиот Пейдж']",Кристофер Нолан,148,"Кобб – талантливый вор, лучший из лучших в опасном искусстве извлечения: он крадет ценные секреты из глубин подсознания во время сна, когда человеческий разум наиболее уязвим. Редкие способности Кобба сделали его ценным игроком в привычном к предательству мире промышленного шпионажа, но они же превратили его в извечного беглеца и лишили всего, что он когда-либо любил. ",8.7
65,1+1 ,['Франция'],"['драма', 'комедия', 'биография', 'слова']","['Франсуа Клюзе', 'Омар Си', 'Анн Ле Ни']",Оливье Накаш,112,"Пострадав в результате несчастного случая, богатый аристократ Филипп нанимает в помощники человека, который менее всего подходит для этой работы, – молодого жителя предместья Дрисса, только что освободившегося из тюрьмы. Несмотря на то, что Филипп прикован к инвалидному креслу, Дриссу удается привнести в размеренную жизнь аристократа дух приключений.",8.8
66,Химера ,['Италия'],"['фэнтези', 'мелодрама', 'комедия', 'приключения', 'слова']","['Джош О’Коннор', 'Карол Дуарте', 'Винченцо Немолато']",Аличе Рорвахер,130,"1980-е, Италия. Вернувшись в город своих воспоминаний, молодой британский археолог Артур встречает банду кладоискателей и оказывается втянут в незаконный оборот древних находок. ",7.7
67,Властелин колец: Братство Кольца ,['Новая Зеландия'],"['фэнтези', 'приключения', 'драма', 'боевик', 'слова']","['Элайджа Вуд', 'Иэн Маккеллен', 'Шон Эстин']",Питер Джексон,178,"Сказания о Средиземье — это хроника Великой войны за Кольцо, длившейся не одну тысячу лет. Тот, кто владел Кольцом, получал неограниченную власть, но был обязан служить злу. ",8.6
68,Майор Гром: Чумной Доктор ,['Россия'],"['боевик', 'криминал', 'детектив', 'комедия', 'слова']","['Тихон Жизневский', 'Любовь Аксёнова', 'Алексей Маклаков']",Олег Трофим,136,"Майор полиции Игорь Гром известен всему Санкт-Петербургу пробивным характером и непримиримой позицией по отношению к преступникам всех мастей. Неимоверная сила, аналитический склад ума и неподкупность — всё это делает майора Грома идеальным полицейским. Но всё резко меняется с появлением человека в маске Чумного Доктора. Заявив, что его город «болен чумой беззакония», он принимается за «лечение», убивая людей, которые в своё время избежали наказания при помощи денег и влияния. Общество взбудоражено. Полиция бессильна. Игорь впервые сталкивается с трудностями в расследовании, от итогов которого может зависеть судьба всего города.",7.2
69,Аватар: Путь воды ,['США'],"['фантастика', 'фэнтези', 'боевик', 'приключения', 'слова']","['Сэм Уортингтон', 'Зои Салдана', 'Сигурни Уивер']",Джеймс Кэмерон,192,"После принятия образа аватара солдат Джейк Салли становится предводителем народа на'ви и берет на себя миссию по защите новых друзей от корыстных бизнесменов с Земли. Теперь ему есть за кого бороться — с Джейком его прекрасная возлюбленная Нейтири. Когда на Пандору возвращаются до зубов вооруженные земляне, Джейк готов дать им отпор.",7.8
70,Стражи Галактики. Часть 3 ,['США'],"['фантастика', 'боевик', 'комедия', 'приключения', 'слова']","['Крис Пратт', 'Карен Гиллан', 'Пом Клементьефф']",Джеймс Ганн,150,"Едва Стражи Галактики обосновываются на Забвении, на них нападает Адам Уорлок, обладающее сверхспособностями существо, созданное своей «матерью» и Верховной Жрицей суверенов Аишей. В бою Небуле удаётся победить Адама, но Ракета получает серьёзные травмы, а Стражи не могут его вылечить из-за встроенного чипа смерти, созданного компанией «Оргокорп». Они отправляются в главный штаб компании на поиски кода отмены.",8.1
71,Создатель ,['США'],"['фантастика', 'боевик', 'драма', 'слова']","['Джон Дэвид Вашингтон', 'Мэделин Юна Войлс', 'Джемма Чан']",Гарет Эдвардс,133,"Повсеместное применение искусственного интеллекта привело к тому, что в Лос-Анджелесе произошёл ядерный взрыв. С тех пор коллективный Запад во главе с США ведёт непримиримую войну на уничтожение ИИ, но блок стран Юго-Восточной Азии — Новая Азия — живёт в гармонии с роботами и сдаваться не собирается. В 2065 году спецназовец Джошуа находился в тылу врага с целью отыскать главного создателя ИИ, известного под именем Нирмата, и втёрся в доверие настолько, что женился на учёной Майе и с нетерпением ждал рождения ребёнка. Но во время нападения американцев и ракетного удара главной надежды Запада на победу — военной орбитальной станции NOMAD — его жена погибла.",6.5
72,Гарри Поттер и узник Азкабана ,['Великобритания'],"['фэнтези', 'приключения', 'семейный', 'слова']","['Дэниэл Рэдклифф', 'Руперт Гринт', 'Эмма Уотсон']",Альфонсо Куарон,142,"В третьей части истории о юном волшебнике полюбившиеся всем герои — Гарри Поттер, Рон и Гермиона — возвращаются уже на третий курс школы чародейства и волшебства Хогвартс. На этот раз они должны раскрыть тайну узника, сбежавшего из зловещей тюрьмы Азкабан, чье пребывание на воле создает для Гарри смертельную опасность...",8.2
73,Реинкарнация ,['США'],"['ужасы', 'драма', 'детектив', 'слова']","['Тони Коллетт', 'Гэбриел Бирн', 'Алекс Вулф']",Ари Астер,127,"После смерти матери в ранее спокойном доме Энни начинает твориться нечто необъяснимое. Теперь под угрозой жизнь её близких, и с каждым днём открываются новые ужасающие секреты семьи.",6.4
74,Убийца ,['США'],"['триллер', 'криминал', 'слова']","['Майкл Фассбендер', 'Тильда Суинтон', 'Чарльз Парнелл']",Дэвид Финчер,118,"Высококлассный наемный убийца, склонный к мизантропическому философствованию, поджидает жертву в Париже. Когда всё идёт не по плану, он сам рискует превратиться в мишень и отправляется разбираться с собственными заказчиками.",6.6
75,Одна дома ,['Россия'],"['комедия', 'семейный']","['Виталия Корниенко', 'Михаил Тарабукин', 'Ян Цапник']",Анарио Мамедов,92,"Отчаявшись сделать мир прекраснее законным образом, молодой непутевый инженер Артем решил ограбить несколько элитных квартир с помощью своего изобретения. Но в первой же из них он встречает хитрую девочку Стефанию, которая требует взять ее в сообщницы, чтобы купить подарок маме. У них всего одна новогодняя ночь, чтобы провернуть дело, и множество непредвиденных обстоятельств.",6.3
76,Переводчик ,['Великобритания'],"['боевик', 'триллер', 'военный', 'история', 'драма', 'слова']","['Джейк Джилленхол', 'Дар Салим', 'Джонни Ли Миллер']",Гай Ричи,123,"Афганистан, март 2018 года. Во время спецоперации по поиску оружия талибов отряд сержанта армии США Джона Кинли попадает в засаду. В живых остаются только сам Джон, получивший ранение, и местный переводчик Ахмед, который сотрудничает с американцами. Очнувшись на родине, Кинли не помнит, как ему удалось выжить, но понимает, что именно Ахмед спас ему жизнь, протащив на себе через опасную территорию. Теперь чувство вины не даёт Джону покоя, и он решает вернуться за Ахмедом и его семьёй, которых в Афганистане усиленно ищут талибы.",7.9
77,Герой наших снов ,['США'],"['драма', 'комедия', 'фантастика', 'слова']","['Николас Кейдж', 'Джулианна Николсон', 'Лили Берд']",Кристоффер Боргли,102,"Ничем не примечательный лысеющий профессор среднего возраста Пол Мэтьюс ведёт обычную профессорскую жизнь, преподаёт в университете и много лет вынашивает идею книги о коллективном разуме муравьёв. Внезапно мужчина становится дико популярным — люди всего мира начинают видеть его во сне. Теперь о Поле трезвонят все СМИ, его хочет рекрутировать агентство талантов, а сам профессор решает использовать эту волну хайпа, чтобы найти издателя для своей книги.",6.9
78,Бойцовский клуб ,['США'],"['триллер', 'драма', 'криминал', 'слова']","['Эдвард Нортон', 'Брэд Питт', 'Хелена Бонем Картер']",Дэвид Финчер,139,"Сотрудник страховой компании страдает хронической бессонницей и отчаянно пытается вырваться из мучительно скучной жизни. Однажды в очередной командировке он встречает некоего Тайлера Дёрдена — харизматического торговца мылом с извращенной философией. Тайлер уверен, что самосовершенствование — удел слабых, а единственное, ради чего стоит жить, — саморазрушение.",8.7
79,Семьянин ,['США'],"['фэнтези', 'драма', 'мелодрама', 'комедия', 'слова']","['Николас Кейдж', 'Теа Леони', 'Дон Чидл']",Бретт Рэтнер,125,"Судьба в облике чернокожего Санты ставит перед Джеком непростой выбор. Он может быть президентом инвестиционной компании, жить в роскошной квартире, раскатывать на последней модели «Феррари» и при этом оставаться холостяком. А может стать семьянином, но работать продавцом автопокрышек, покупать одежду в супермаркете и ездить на минивэне.",7.8
80,Серебряные коньки ,['Россия'],"['мелодрама', 'приключения', 'драма', 'слова']","['Фёдор Федотов', 'Софья Присс', 'Алексей Гуськов']",Михаил Локшин,136,"1899 год, рождественский Петербург. Яркая праздничная жизнь бурлит на скованных льдом реках и каналах столицы. Накануне нового столетия судьба сводит тех, кому, казалось бы, не суждено было встретиться. Люди из совершенно разных миров, Матвей — сын фонарщика, его единственное богатство — доставшиеся по наследству посеребренные коньки; Алиса — дочь крупного сановника, грезящая о науке. У каждого — своя непростая история, но, однажды столкнувшись, они устремляются к мечте вместе.",7.7
81,Элементарно ,['США'],"['мультфильм', 'фэнтези', 'драма', 'мелодрама', 'комедия', 'приключения', 'семейный', 'слова']","['Леа Льюис', 'Мамуду Ати', 'Роналдо Дель Кармен']",Питер Сон,101,"В Элемент-Сити обитатели огня, воды, земли и воздуха живут вместе. У сильной и вспыльчивой Эмбер завязывается дружба с расслабленным, плывущим по течению Уэйдом — дружба, которая бросит вызов её представлениям о мире вокруг.",7.7
82,Шрэк ,['США'],"['мультфильм', 'фэнтези', 'мелодрама', 'комедия', 'приключения', 'семейный', 'слова']","['Майк Майерс', 'Эдди Мерфи', 'Кэмерон Диас']",Эндрю Адамсон,90,"Жил да был в сказочном государстве большой зеленый великан по имени Шрэк. Жил он в гордом одиночестве в лесу, на болоте, которое считал своим. Но однажды злобный коротышка — лорд Фаркуад, правитель волшебного королевства, безжалостно согнал на Шрэково болото всех сказочных обитателей.",8.2
83,Последний богатырь ,['Россия'],"['фэнтези', 'комедия', 'приключения', 'семейный', 'слова']","['Виктор Хориняк', 'Мила Сивацкая', 'Екатерина Вилкова']",Дмитрий Дьяченко,114,"Победитель 5-го сезона «Битвы магов» белый маг Святозар, а на самом деле — обычный парень Иван, привычно пудрит мозги телезрителям и доверчивым клиентам, готовым поверить во что угодно. Однажды, спасаясь бегством от крепких охранников мужа очередной одураченной им домохозяйки, парень внезапно переносится из Москвы в сказочную страну Белогорье. А встреченный там старец объявляет Ивану, что тот — сын Ильи Муромца, и только он может их спасти. Так наш «белый маг» оказывается в эпицентре противостояния волшебных сил добра и зла, вот только сам парень уверен, что он тут совершенно ни при чём, и всё это — какая-то нелепая ошибка.",7.1
84,Одержимость ,['США'],"['драма', 'музыка', 'слова']","['Майлз Теллер', 'Дж.К. Симмонс', 'Пол Райзер']",Дэмьен Шазелл,106,"Эндрю мечтает стать великим. Казалось бы, вот-вот его мечта осуществится. Юношу замечает настоящий гений, дирижер лучшего в стране оркестра. Желание Эндрю добиться успеха быстро становится одержимостью, а безжалостный наставник продолжает подталкивать его все дальше и дальше – за пределы человеческих возможностей. Кто выйдет победителем из этой схватки?",8.4
85,Уикенд с батей ,['США'],"['комедия', 'слова']","['Себастьян Манискалко', 'Роберт Де Ниро', 'Лесли Бибб']",Лора Террузо,90,"Себастьян планирует провести уикенд со своей очаровательной невестой Элли и ее семьей в их роскошном фамильном поместье, где есть собственное поле для гольфа, шикарная яхта и даже ручной павлин. Отличный план на длинные выходные, но Элли настаивает, чтобы Себастьян также пригласил своего отца Сальво, эксцентричного парикмахера родом из Италии. Культурный шок ждет всех. Но ведь родственников не выбирают?",7.1
86,Повелитель ветра ,['Россия'],"['драма', 'приключения', 'биография']","['Фёдор Бондарчук', 'Анна Михалкова', 'Евгений Ткачук']",Игорь Волошин,94,"Знаменитый российский путешественник Федор Конюхов, за плечами которого покорение земных полюсов, океанов и высочайших вершин, отправляется в новое, свое самое опасное путешествие. Ему предстоит обогнуть Землю на воздушном шаре в полном одиночестве. Полет готовит целая команда, но нельзя предвидеть все опасности, которые ждут путешественника в экстремальных условиях. Конюхов попадает в ураган — без связи, без сна, почти без воздуха он должен идти только вперед, чтобы вернуться к тем, кого любит.",7.7
87,Остров проклятых ,['США'],"['триллер', 'детектив', 'драма', 'слова']","['Леонардо ДиКаприо', 'Марк Руффало', 'Бен Кингсли']",Мартин Скорсезе,138,"Два американских судебных пристава отправляются на один из островов в штате Массачусетс, чтобы расследовать исчезновение пациентки клиники для умалишенных преступников. При проведении расследования им придется столкнуться с паутиной лжи, обрушившимся ураганом и смертельным бунтом обитателей клиники.",8.5
88,Страсти по Матвею ,['Россия'],"['мелодрама', 'комедия']","['Денис Власенко', 'Валери Зоидова', 'Тимофей Трибунцев']",Сергей Ильин,120,"Матвей — молодой прилежный алтарник, который мечтает стать священником. Агата — спонтанная дерзкая художница, которая не привыкла ничего планировать наперед.",7.5
89,Гринч — похититель Рождества ,['США'],"['фэнтези', 'комедия', 'семейный', 'слова']","['Джим Керри', 'Тейлор Момсен', 'Келли']",Рон Ховард,104,"Жил-был в городе Ктограде человечек, и звали его Гринч. Был он весь зеленый и волосатый, никто его не любил. Обиделся Гринч на ктовичей и ушел жить на одинокую, обдуваемую всеми ветрами гору. Сидел там в своей пещере и злился на весь свет. Больше всего Гринч ненавидел Рождество. В то время, как все население Ктограда веселилось от души, барометр и без того всегда плохого настроения Гринча показывал нечто ужасное.",6.8
90,Операция «Фортуна»: Искусство побеждать ,['Великобритания'],"['боевик', 'комедия', 'слова']","['Джейсон Стэйтем', 'Обри Плаза', 'Джош Хартнетт']",Гай Ричи,114,"Суперагент британской разведки Орсон Форчун наслаждался заслуженным отпуском, когда родине срочно понадобились его услуги. Из секретной лаборатории похищено предположительно смертельное оружие, поэтому, собрав команду из лучших оперативников, Орсон выходит на посредника в готовящейся сделке продажи — миллиардера и большого поклонника знаменитостей Грэга Симмондса. А чтобы подобраться к нему, в качестве прикрытия решает использовать известного голливудского актёра Дэнни Франческо.",7.1
91,Гран туризмо ,['США'],"['боевик', 'драма', 'приключения', 'спорт', 'слова']","['Арчи Мадекве', 'Орландо Блум', 'Дэвид Харбор']",Нил Бломкамп,134,"Заядлый геймер Янн Марденборо, несостоявшийся автогонщик Джейк Солтер и идейный маркетолог Дэнни Мур вместе рискнут всем, чтобы найти своё место в самом элитном виде спорта.",7.6
92,Непослушник ,['Россия'],['комедия'],"['Виктор Хориняк', 'Юрий Кузнецов', 'Таисия Вилкова']",Владимир Котт,115,"Известный блогер-пранкер Дима в погоне за популярностью в сети устраивает жесткие розыгрыши. Один из пранков он снимает в стенах церкви, где служит его друг детства. Ролик провоцирует возмущение в среде верующих и на Диму заводят дело. Уходя от преследования полиции, Дима укрывается в месте, где его точно не будут искать — в маленьком провинциальном монастыре, выдавая себя за того самого друга-послушника.",6.4
93,Исчезнувшая ,['США'],"['триллер', 'драма', 'детектив', 'слова']","['Бен Аффлек', 'Розамунд Пайк', 'Нил Патрик Харрис']",Дэвид Финчер,149,"Всё было готово для празднования пятилетия супружеской жизни, когда вдруг необъяснимо пропала виновница торжества. Остались следы борьбы в доме, кровь, которую явно пытались стереть, и цепочка подсказок в игре «охота за сокровищами» - жена ежегодно устраивала её для своего обожаемого мужа. И похоже, что эти подсказки дают шанс пролить свет на судьбу исчезнувшей.",8.0
94,Беспринципные в деревне ,['Россия'],['комедия'],"['Павел Деревянко', 'Оксана Акиньшина', 'Аглая Тарасова']",Роман Прыгунов,86,"Отставному генералу Хадякову стукнуло 60 лет, и он решает отпраздновать юбилей не на Патриках, а в настоящей русской деревне — с полным погружением, праздничной трапезой, баней, рыбалкой и деревенским спа. Приглашены все любимые герои, но праздник идёт не по плану. Жители Патриков умудряются настроить против себя местных жителей, переругаться между собой и остаться без пропитания.",6.5
95,Зеленая книга ,['США'],"['биография', 'комедия', 'драма', 'слова']","['Вигго Мортенсен', 'Махершала Али', 'Линда Карделлини']",Питер Фаррелли,130,"1960-е годы. После закрытия нью-йоркского ночного клуба на ремонт вышибала Тони по прозвищу Болтун ищет подработку на пару месяцев. Как раз в это время Дон Ширли — утонченный светский лев, богатый и талантливый чернокожий музыкант, исполняющий классическую музыку — собирается в турне по южным штатам, где ещё сильны расистские убеждения и царит сегрегация. Он нанимает Тони в качестве водителя, телохранителя и человека, способного решать текущие проблемы. У этих двоих так мало общего, и эта поездка навсегда изменит жизнь обоих.",8.4
96,Джанго освобожденный ,['США'],"['вестерн', 'боевик', 'драма', 'комедия', 'слова']","['Джейми Фокс', 'Кристоф Вальц', 'Леонардо ДиКаприо']",Квентин Тарантино,165,"Шульц — эксцентричный охотник за головами, который выслеживает и отстреливает самых опасных преступников. Он освобождает раба по имени Джанго, поскольку тот может помочь ему в поисках трёх бандитов. Джанго знает этих парней в лицо, ведь у него с ними свои счёты.",8.2
97,Гарри Поттер 20 лет спустя: Возвращение в Хогвартс ,['Великобритания'],"['документальный', 'семейный', 'слова']","['Дэниэл Рэдклифф', 'Руперт Гринт', 'Эмма Уотсон']",Кэйси Паттерсон,99,"Дэниэл Рэдклифф, Руперт Гринт и Эмма Уотсон встретятся со своими коллегами и впервые за долгие годы окажутся в стенах Хогвартса.",8.1
98,Пять ночей с Фредди ,['США'],"['ужасы', 'драма', 'слова']","['Джош Хатчерсон', 'Пайпер Рубио', 'Элизабет Лэил']",Эмма Тамми,109,"Пытаясь сохранить опекунство над сестрёнкой, Майк Шмидт устраивается работать ночным охранником в «Freddy Fazbear’s» — некогда популярный, но ныне закрытый семейный развлекательный центр. Несколько лет назад, когда Майк был ещё ребёнком, его младшего брата похитил неизвестный, и к этому событию парень снова и снова возвращается во сне, пытаясь вспомнить лицо похитителя. На новой работе в его снах появляются новые подробности — кажется, это место хранит зловещие тайны.",5.8
99,Бегущий по лезвию 2049 ,['США'],"['фантастика', 'боевик', 'триллер', 'драма', 'слова']","['Райан Гослинг', 'Харрисон Форд', 'Ана де Армас']",Дени Вильнёв,164,"В недалеком будущем мир населен людьми и репликантами, созданными выполнять самую тяжелую работу. Работа офицера полиции Кей — держать репликантов под контролем в условиях нарастающего напряжения. Он случайно становится обладателем секретной информации, которая ставит под угрозу существование всего человечества. Желая найти ключ к разгадке, Кей решает разыскать Рика Декарда — бывшего офицера специального подразделения полиции Лос-Анджелеса, который бесследно исчез много лет назад.",7.8
100,Непослушник 2 ,['Россия'],['комедия'],"['Виктор Хориняк', 'Юрий Кузнецов', 'Таисия Вилкова']",Владимир Котт,108,"К отцу Анатолию собирается на исповедь криминальный авторитет, который решил покаяться в своих грехах и начать новую жизнь. Но в тот же вечер священник после падения теряет память и забывает кто он, как жил и во что верил! А грешник требует исповедь — ведь он уже перевел солидную сумму на пожертвование. Исправить ситуацию берется наш герой Димонстр. Под присмотром бандита, он решается на самый масштабный пранк в своей жизни — восстановить яркие моменты жизни отца Анатолия, начиная с детства. По мнению врачей, есть шанс, что это может помочь вернуть память. В попытке «обмануть» память батюшки, Дима будет превращать реальность в фрагменты прошлого, используя декорации, спецэффекты, каскадеров, монахов, самого авторитета, Ефросинью, папу и просто актеров. Отец Анатолий проживет свою жизнь заново.",6.1
